bowler,runs_given,balls_bowled,wickets,matches,economy,bowling_sr,bowling_avg
A Kumble,1058,965,45,42,6.58,21.44,23.51
A Mishra,4145,3371,174,162,7.38,19.37,23.82
A Nehra,2495,1908,106,88,7.85,18.0,23.54
A Nortje,1657,1096,61,48,9.07,17.97,27.16
A Singh,620,473,28,23,7.86,16.89,22.14
A Symonds,674,527,20,30,7.67,26.35,33.7
A Zampa,652,467,31,22,8.38,15.06,21.03
AB Agarkar,1151,782,29,42,8.83,26.97,39.69
AB Dinda,2073,1516,69,75,8.2,21.97,30.04
AC Thomas,406,315,14,15,7.73,22.5,29.0
AD Mascarenhas,356,308,19,13,6.94,16.21,18.74
AD Mathews,1079,791,27,44,8.18,29.3,39.96
AD Russell,2863,1806,123,121,9.51,14.68,23.28
AJ Tye,979,684,42,30,8.59,16.29,23.31
AN Ahmed,498,344,12,17,8.69,28.67,41.5
AR Patel,4077,3321,128,160,7.37,25.95,31.85
AS Joseph,691,434,21,22,9.55,20.67,32.9
AS Rajpoot,814,529,24,29,9.23,22.04,33.92
Abhishek Sharma,501,336,11,32,8.95,30.55,45.55
Akash Madhwal,590,352,24,17,10.06,14.67,24.58
Ankit Sharma,450,367,12,21,7.36,30.58,37.5
Anureet Singh,623,412,18,22,9.07,22.89,34.61
Arshdeep Singh,2570,1714,97,81,9.0,17.67,26.49
Avesh Khan,2461,1619,88,75,9.12,18.4,27.97
Azhar Mahmood,700,537,29,23,7.82,18.52,24.14
B Kumar,5412,4222,198,190,7.69,21.32,27.33
B Lee,1095,875,25,38,7.51,35.0,43.8
BA Stokes,992,689,28,38,8.64,24.61,35.43
BB Sran,757,483,18,24,9.4,26.83,42.06
BW Hilfenhaus,479,372,22,17,7.73,16.91,21.77
Basil Thampi,846,521,22,25,9.74,23.68,38.45
Bipul Sharma,572,426,17,28,8.06,25.06,33.65
C Green,664,439,16,29,9.08,27.44,41.5
C Sakariya,638,444,20,20,8.62,22.2,31.9
CH Gayle,729,554,18,38,7.9,30.78,40.5
CH Morris,2309,1726,96,81,8.03,17.98,24.05
CJ Jordan,1081,674,30,34,9.62,22.47,36.03
CR Woakes,658,440,30,21,8.97,14.67,21.93
CV Varun,2385,1888,100,83,7.58,18.88,23.85
DE Bollinger,693,576,37,27,7.22,15.57,18.73
DJ Bravo,4360,3120,183,158,8.38,17.05,23.83
DJ Hooda,546,379,10,34,8.64,37.9,54.6
DJ Hussey,474,317,8,26,8.97,39.62,59.25
DL Chahar,2597,1915,88,95,8.14,21.76,29.51
DL Vettori,879,777,28,34,6.79,27.75,31.39
DP Nannes,785,646,28,29,7.29,23.07,28.04
DR Sams,523,360,14,16,8.72,25.71,37.36
DR Smith,810,539,26,46,9.02,20.73,31.15
DS Kulkarni,2474,1787,86,92,8.31,20.78,28.77
DS Rathi,429,312,14,13,8.25,22.29,30.64
DT Christian,1192,883,38,49,8.1,23.24,31.37
DW Steyn,2523,2182,97,95,6.94,22.49,26.01
GB Hogg,570,458,23,21,7.47,19.91,24.78
GD McGrath,357,324,12,14,6.61,27.0,29.75
GJ Maxwell,1413,1022,41,85,8.3,24.93,34.46
HH Pandya,2492,1628,78,107,9.18,20.87,31.95
HV Patel,3579,2424,151,116,8.86,16.05,23.7
Harbhajan Singh,4030,3416,150,160,7.08,22.77,26.87
Harmeet Singh,731,549,27,28,7.99,20.33,27.07
Harpreet Brar,1085,811,35,46,8.03,23.17,31.0
Harshit Rana,1029,649,40,32,9.51,16.23,25.72
I Sharma,3377,2419,96,117,8.38,25.2,35.18
IC Pandey,591,462,18,24,7.68,25.67,32.83
IK Pathan,2649,2043,80,101,7.78,25.54,33.11
Imran Tahir,1703,1316,82,59,7.76,16.05,20.77
Iqbal Abdulla,1109,920,40,48,7.23,23.0,27.72
J Botha,800,694,25,34,6.92,27.76,32.0
J Suchith,602,420,19,21,8.6,22.11,31.68
J Yadav,445,390,8,20,6.85,48.75,55.62
JA Morkel,2359,1723,85,87,8.21,20.27,27.75
JC Archer,1602,1218,59,52,7.89,20.64,27.15
JD Unadkat,3364,2274,110,111,8.88,20.67,30.58
JH Kallis,2293,1742,65,89,7.9,26.8,35.28
JJ Bumrah,4059,3359,186,145,7.25,18.06,21.82
JO Holder,1461,995,53,46,8.81,18.77,27.57
JP Behrendorff,552,366,19,17,9.05,19.26,29.05
JP Duminy,834,678,23,49,7.38,29.48,36.26
JP Faulkner,1799,1238,61,60,8.72,20.3,29.49
JR Hazlewood,1196,867,57,39,8.28,15.21,20.98
JR Hopes,548,360,14,20,9.13,25.71,39.14
K Gowtham,808,588,21,35,8.24,28.0,38.48
K Rabada,2741,1911,122,84,8.61,15.66,22.47
KA Pollard,2180,1488,69,107,8.79,21.57,31.59
KH Pandya,2985,2398,93,132,7.47,25.78,32.1
KK Ahmed,2328,1556,89,71,8.98,17.48,26.16
KK Cooper,757,576,33,25,7.89,17.45,22.94
KV Sharma,2215,1585,83,87,8.38,19.1,26.69
KW Richardson,472,335,19,15,8.45,17.63,24.84
